epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.826321,1.1065,2.64036,1.42644,0.6093,0.88723,0.88767,0.61465,1.40675,1.33606,1.26037,0,0,0
2,1.65926,1.02626,2.96802,1.35856,0.59517,0.89322,0.88785,0.62346,1.40702,1.35156,1.25601,1.17822e-06,1.17822e-06,1.17822e-06
3,2.46874,0.73193,3.0603,1.24279,0.59955,0.88003,0.88451,0.62255,1.43764,1.37476,1.27063,2.33288e-06,2.33288e-06,2.33288e-06
4,3.25804,1.41562,2.71859,1.9485,0.55639,0.83333,0.8708,0.60827,1.45032,1.40096,1.27747,3.46397e-06,3.46397e-06,3.46397e-06
5,4.04157,1.22104,3.49145,1.68788,0.57761,0.83333,0.87084,0.60952,1.46851,1.43111,1.28097,4.5715e-06,4.5715e-06,4.5715e-06
6,4.83795,1.08919,2.53541,1.3866,0.6057,0.6899,0.88473,0.59332,1.49155,1.48375,1.29478,5.65548e-06,5.65548e-06,5.65548e-06
7,5.64091,1.0899,2.61814,1.38706,0.8372,0.56667,0.87203,0.57771,1.50806,1.527,1.30873,6.71588e-06,6.71588e-06,6.71588e-06
8,6.44852,0.92687,2.30205,1.27117,0.82249,0.5695,0.88595,0.57325,1.52281,1.57814,1.32857,7.75273e-06,7.75273e-06,7.75273e-06
9,7.26462,1.10375,3.49977,1.39463,0.81754,0.58007,0.88631,0.55891,1.54375,1.63243,1.33322,8.76602e-06,8.76602e-06,8.76602e-06
10,8.0726,0.98327,2.57969,1.21824,0.80561,0.58333,0.80321,0.55456,1.55161,1.68794,1.34683,9.75574e-06,9.75574e-06,9.75574e-06
11,8.90208,1.26291,2.81591,1.49992,0.78845,0.58333,0.76898,0.54211,1.56162,1.71793,1.35785,1.07219e-05,1.07219e-05,1.07219e-05
12,9.71779,0.8852,2.18723,1.31241,0.77379,0.58333,0.76381,0.54337,1.56227,1.76371,1.36355,1.16645e-05,1.16645e-05,1.16645e-05
13,10.5375,1.05815,2.41853,1.48811,0.75704,0.58333,0.74395,0.54208,1.54953,1.80156,1.36687,1.25835e-05,1.25835e-05,1.25835e-05
14,11.3482,1.00119,2.47309,1.34653,0.74763,0.58333,0.74738,0.54352,1.53691,1.79868,1.36052,1.3479e-05,1.3479e-05,1.3479e-05
15,12.1424,1.07825,1.79739,1.4697,0.76617,0.58333,0.74394,0.54202,1.5211,1.82708,1.35498,1.43509e-05,1.43509e-05,1.43509e-05
16,12.9477,1.00026,2.49172,1.47419,0.93816,0.37188,0.74537,0.53394,1.50169,1.82879,1.35243,1.51993e-05,1.51993e-05,1.51993e-05
17,13.7536,0.94672,2.31136,1.38121,0.93297,0.37176,0.66081,0.4668,1.51509,1.89205,1.36133,1.60241e-05,1.60241e-05,1.60241e-05
18,14.5426,1.19166,2.15846,1.47931,0.93297,0.37176,0.66081,0.4668,1.51509,1.89205,1.36133,1.68253e-05,1.68253e-05,1.68253e-05
19,15.3683,1.07012,1.72482,1.36369,0.93251,0.37284,0.66095,0.46675,1.53713,1.94349,1.37669,1.7603e-05,1.7603e-05,1.7603e-05
20,16.1597,0.8972,1.67624,1.20599,0.93251,0.37284,0.66095,0.46675,1.53713,1.94349,1.37669,1.83571e-05,1.83571e-05,1.83571e-05
21,16.9621,1.10643,2.96874,1.48389,0.93222,0.37308,0.66113,0.45572,1.56859,2.01365,1.39562,1.90876e-05,1.90876e-05,1.90876e-05
22,17.7635,0.84632,1.97919,1.42106,0.93222,0.37308,0.66113,0.45572,1.56859,2.01365,1.39562,1.97946e-05,1.97946e-05,1.97946e-05
23,18.6124,1.20672,1.73306,1.41667,0.93379,0.3735,0.61953,0.4629,1.59077,2.06789,1.42019,2.0478e-05,2.0478e-05,2.0478e-05
24,19.4083,0.9289,1.75184,1.2657,0.93379,0.3735,0.61953,0.4629,1.59077,2.06789,1.42019,2.11379e-05,2.11379e-05,2.11379e-05
